category,created_at,image,link,text,title
colunas,1º.mai.2024 às 22h30,https://f.i.uol.com.br/fotografia/2024/05/01/17146046096632ca4156c7b_1714604609_3x2_xs.jpg,https://www1.folha.uol.com.br/colunas/painel/2024/05/institutos-liberais-vao-a-justica-para-barrar-contrato-de-governo-lula-para-redes.shtml,"Entidades afirmam que valor de R$ 198 milhões configura abuso de poder econômico em ano eleitoral Duas associações liberais, o Instituto Ludwig von Mises Brasil e o Instituto Livre Mercado,  ...",Institutos liberais vão à Justiça para barrar contrato de governo Lula para redes
mundo,1º.mai.2024 às 22h26,https://f.i.uol.com.br/fotografia/2024/05/01/17146046096632ca4156c7b_1714604609_3x2_xs.jpg,https://www1.folha.uol.com.br/mundo/2024/05/autoridade-de-midia-da-arabia-saudita-diz-que-assassinato-de-khashoggi-foi-incidente-infeliz.shtml,"Para Bander Alsulami, em SP para reunião do G20, reduzir seu país à morte do jornalista é como reduzir Brasil ao futebol O jornalista saudita Jamal Khashoggi foi assassinado e esquartejado p ...",Autoridade de mídia da Arábia Saudita diz que assassinato de Khashoggi foi 'incidente infeliz'
colunas,1º.mai.2024 às 22h00,https://f.i.uol.com.br/fotografia/2024/05/01/17146046096632ca4156c7b_1714604609_3x2_xs.jpg,https://www1.folha.uol.com.br/colunas/painel/2024/05/ex-aliados-que-disputarao-prefeitura-de-guarulhos-dividem-palco-em-ato-das-centrais.shtml,"Alencar Santana, do PT, diz que Elói Pietá, que deixou o partido, foi para a direita; ele nega e diz que formou frente ampla O ato do Dia do Trabalho reuniu no mesmo palco dois ex-aliados qu ...",Ex-aliados que disputarão prefeitura de Guarulhos dividem palco em ato das centrais
opiniao,1º.mai.2024 às 22h00,https://f.i.uol.com.br/fotografia/2024/05/01/17146046096632ca4156c7b_1714604609_3x2_xs.jpg,https://www1.folha.uol.com.br/opiniao/2024/05/sp-vai-na-contramao-do-mundo-se-vender-a-sabesp.shtml,"Privatização de estatal atende apenas a interesses eleitorais, não dos paulistanos A decisão açodada do governador Tarcísio de Freitas (Republicanos-SP) de vender a Sabesp encontrou no prefe ...",SP vai na contramão do mundo se vender a Sabesp
opiniao,1º.mai.2024 às 22h00,https://f.i.uol.com.br/fotografia/2024/05/01/17146046096632ca4156c7b_1714604609_3x2_xs.jpg,https://www1.folha.uol.com.br/opiniao/2024/05/emprego-positivo.shtml,"Números mostram que mercado de trabalho, inclusive formal, seguiu forte em março Os dados do mercado de trabalho relativos a março deixam claro que persiste a tendência de boa geração de emp ...",Emprego positivo
opiniao,1º.mai.2024 às 22h00,https://f.i.uol.com.br/fotografia/2024/05/01/17146046096632ca4156c7b_1714604609_3x2_xs.jpg,https://www1.folha.uol.com.br/opiniao/2024/05/os-descasos-do-poder-publico-com-a-dengue.shtml,"Possibilidade de perda de vacinas por vencimento é mais um aspecto falho dos governos na condução do combate à epidemia Nas últimas semanas, vários estados do país tiveram de correr para usa ...",Os descasos do poder público com a dengue
opiniao,1º.mai.2024 às 22h00,https://f.i.uol.com.br/fotografia/2024/05/01/17146046096632ca4156c7b_1714604609_3x2_xs.jpg,https://www1.folha.uol.com.br/opiniao/2024/05/privatizacao-da-sabesp-foca-os-mais-vulneraveis.shtml,"Redução do valor da tarifa alcançará as famílias que hoje estão à margem A Câmara Municipal de São Paulo deve confirmar nesta quinta-feira (2), em segunda votação, o projeto de privatização  ...",Privatização da Sabesp foca os mais vulneráveis
celebridades,1º.mai.2024 às 21h57,https://f.i.uol.com.br/fotografia/2024/05/01/17146046096632ca4156c7b_1714604609_3x2_xs.jpg,https://f5.folha.uol.com.br/celebridades/2024/05/madonna-mudou-o-mundo-diz-autora-de-mais-nova-biografia-da-cantora.shtml,"'Uma Vida Rebelde', da jornalista Mary Gabriel, é lançada no Brasil perto do show histórico da cantora em Copacabana Prestes a fazer um show histórico encerrando a ""Celebration Tour"", Madonn ...","'Madonna mudou o mundo', diz autora de mais nova biografia da cantora"
colunas,1º.mai.2024 às 21h30,https://f.i.uol.com.br/fotografia/2024/05/01/17146046096632ca4156c7b_1714604609_3x2_xs.jpg,https://www1.folha.uol.com.br/colunas/monicabergamo/2024/05/produtora-prepara-cinebiografia-de-jose-do-patrocinio.shtml,"Obra será baseada em livro de Tom Farias A produtora Agojie — Blacks Conscientes Bravos prepara uma cinebiografia do líder abolicionista José do Patrocínio. A obra será baseada no livro ""Jos ...",Produtora prepara cinebiografia de José do Patrocínio
colunas,1º.mai.2024 às 21h30,https://f.i.uol.com.br/fotografia/2024/05/01/17146046096632ca4156c7b_1714604609_3x2_xs.jpg,https://www1.folha.uol.com.br/colunas/painel/2024/05/milton-leite-fala-em-reavaliar-relacao-com-governo-lula-apos-nunes-ser-chamado-de-adversario.shtml,"Presidente definiu o prefeito Nunes como 'nosso adversário' e incomodou líderes de partidos aliados Principal liderança do União Brasil em São Paulo, o vereador Milton Leite afirma que o par ...",Milton Leite fala em reavaliar relação com governo Lula após Nunes ser chamado de adversário
